Year_Block_Treatment,Year,Block,Treatment,Amaranthus_retroflexus,Ambrosia_artemisiifolia,Amorpha_canescens,Andropogon_gerardii,Asclepias_syriaca,Asclepias_tuberosa,Aster_ericoides,Aster_praealtus_,Astragalus_canadensis,Baptisia_alba,Bromus_inermis,Chamaecrista_fasciculata,Chenopodium_album,Cirsium_arvense,Conyza_canadensis,Dalea_purpureum,Desmanthus_illinoensis,Desmodium_canadensis,Echinacea_pallida,Echinochloa_crusgalli,Elymus_canadensis,Eryngium_yuccifolium,Euphorbia_dentata,Helianthis_laetiflorus,Helianthis_maximilliani,Heliopsis_helianthoides,Lactuca_serriola,Lespedeza_capitata,Liatris_pycnostachya,Medicago_lupulina,Melilotus_albus,Melilotus_officinalis,Monarda_fistulosa,Muhlenbergia_frondosa,Oxalis_stricta,Panicum_virgatum,Phleum_pratense,Physalis_subglabrata,Poa_pratensis,Populus_deltoides,Pycnanthemum_virginianum,Ratibida_pinnata,Rudbeckia_hirta,Schizachyrium_scoparium,Setaria_faberi,Silphium_integrifolium,Silphium_lactinatum,Solanum_ptycanthum,Solidago_canadensis,Solidago_rigida,Sonchus_asper,Sorghastrum_nutans,Sporobolus_heterolepis,Taraxacum_officinale,Tradescantia_ohiensis,Trifolium_hybridum,Trifolium_pratense,Vernonia_fasciculata,Veronicastrum_virginicum
2010_2_High,2010,2,High_fertility,0,0,0,0.238410596,0,0.001018849,0,0,0.012735609,0,0,0,0,0,0,0,0,0.00356597,0,0,0.376974019,0,0,0.001528273,0.022414671,0.012226184,0,0,0,0,0,0,0.039735099,0,0,0.081507896,0,0.000509424,0,0,0,0.04330107,0.004075395,0,0,0,0,0,0,0.000509424,0,0.160978095,0,0,0,0,0,0.000509424,0
2010_3_Low,2010,3,Low_fertility,0,0,0,0.368709517,0,0.001494768,0,0,0.01793722,0,0,0,0,0,0,0.000996512,0.032884903,0.003986049,0,0,0.193323368,0,0,0.013951171,0.000498256,0.014449427,0,0.000498256,0.001494768,0,0,0,0.004484305,0,0,0.095665172,0,0,0,0.000996512,0,0.025411061,0.000996512,0,0,0,0.000498256,0,0,0,0,0.22122571,0,0.000498256,0,0,0,0,0
2010_3_High,2010,3,High_fertility,0,0,0,0.190565869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001345171,0,0,0.43404179,0,0,0.008519415,0.010761367,0.010402654,0,0,0,0,0,0,0.034974442,0,0,0.136310645,0.00044839,0.004035513,0,0,0,0.018832392,0,0,0,0,0,0,0,0.001793561,0,0.147520402,0,0,0.00044839,0,0,0,0
2010_4_Low,2010,4,Low_fertility,0,0,0,0.388194097,0,0.00150075,0,0,0,0,0,0,0,0,0,0.007003502,0.0010005,0.022011006,0,0,0.110055028,0,0,0.00050025,0.00050025,0.011005503,0,0.004502251,0,0,0,0,0.003001501,0,0,0.110055028,0,0,0,0,0.00050025,0.032016008,0.002001001,0.006003002,0,0,0.00050025,0,0.00050025,0,0,0.298149075,0,0,0,0,0,0.0010005,0
2010_4_High,2010,4,High_fertility,0,0,0,0.16894198,0,0.000426621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566552901,0,0,0.015784983,0.008959044,0.020904437,0,0,0,0,0,0,0.039675768,0,0,0.063139932,0,0,0,0,0,0.048634812,0,0,0,0,0,0,0,0,0,0.065699659,0,0,0.000426621,0,0,0.000853242,0
2011_1_Low,2011,1,Low_fertility,0,0,0,0.388349515,0,0.002696872,0,0.000539374,0.007011866,0.001078749,0,0,0,0.000539374,0,0.004314995,0.060409924,0.013484358,0,0,0.0798274,0,0,0.011866235,0,0.009708738,0,0.000539374,0,0,0,0,0.014563107,0,0,0.075512406,0,0.000539374,0.000539374,0,0,0.042071197,0.005393743,0,0,0,0.000539374,0,0,0,0,0.276159655,0,0,0.000539374,0,0,0.00377562,0
2011_1_High,2011,1,High_fertility,0,0,0,0.23566879,0,0.003582803,0,0.038216561,0,0,0,0,0.00477707,0,0.012738854,0,0,0.000796178,0,0,0.337579618,0,0,0.03383758,0,0.070859873,0,0,0,0,0,0,0.02906051,0,0,0.0625,0,0.003184713,0,0.000398089,0,0.081210191,0.003184713,0,0,0,0,0,0,0,0,0.070063694,0,0,0.003184713,0,0,0.009156051,0
2011_2_Low,2011,2,Low_fertility,0,0,0,0.345969034,0,0.000533903,0,0,0.017618793,0.000533903,0,0,0,0,0,0.009076348,0,0.011745862,0,0,0.106780566,0,0,0.004271223,0,0.006406834,0,0.004805125,0,0,0,0,0.008542445,0,0,0.075280299,0,0.000533903,0,0.000533903,0,0.034169781,0.005872931,0.006940737,0,0.000533903,0,0,0,0.000533903,0,0.358782702,0,0,0.000533903,0,0,0,0
2011_2_High,2011,2,High_fertility,0,0,0,0.310763889,0,0.000434028,0,0,0,0,0,0,0,0,0,0,0.009114583,0,0,0,0.244791667,0,0,0.023003472,0.060763889,0.08203125,0,0,0,0,0,0,0.137152778,0,0,0.01953125,0,0,0.032986111,0,0.000434028,0,0,0,0,0.006944444,0,0,0,0,0,0.045138889,0,0,0,0,0,0.026909722,0
2011_3_Low,2011,3,Low_fertility,0,0.000551268,0,0.443219405,0,0.002205072,0,0,0,0,0,0,0,0,0,0.001102536,0.023153252,0.024807056,0,0,0.11907387,0,0,0.009922822,0.015435502,0.01323043,0,0,0.000551268,0,0,0,0.012127894,0,0,0.049062845,0,0,0,0,0,0.038037486,0.006615215,0,0,0,0.002205072,0,0,0,0,0.235942668,0,0.000551268,0.002205072,0,0,0,0
2011_3_High,2011,3,High_fertility,0,0.000539957,0,0.237580994,0,0,0,0,0.002159827,0,0,0,0,0,0.000539957,0,0,0.002159827,0,0,0.300215983,0,0,0.043196544,0.10637149,0.138228942,0,0,0,0,0,0,0.048596112,0,0,0.008639309,0,0.005939525,0,0,0,0.0674946,0.003779698,0,0,0,0,0,0,0,0,0.026457883,0,0.001079914,0.000539957,0,0,0.006479482,0
2011_4_Low,2011,4,Low_fertility,0,0,0,0.423529412,0,0.006951872,0,0,0.002673797,0.000534759,0,0,0,0,0,0.000534759,0.000534759,0.011764706,0,0,0.096256684,0,0,0.010160428,0.001069519,0.014973262,0,0.007486631,0,0,0,0,0.011764706,0,0,0.07486631,0,0.000534759,0,0,0.001069519,0.019786096,0.002673797,0,0,0,0,0,0,0,0,0.312299465,0,0,0.000534759,0,0,0,0
2011_4_High,2011,4,High_fertility,0,0,0,0.237627854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000430485,0,0.000430485,0.299617729,0,0,0.004304852,0.08867996,0.098563901,0,0,0,0,0,0,0.108482281,0,0,0.012053587,0.001721941,0,0.013775528,0,0,0.067586183,0.002152426,0,0.003874367,0,0,0,0,0,0,0.056824052,0,0,0.001721941,0,0,0.002152426,0
2014_1_Low,2014,1,Low_fertility,0,0,0,0.583579445,0,0.012404017,0,0,0,0.025989368,0,0,0,0,0,0.036621382,0.00236267,0.000590667,0.001181335,0,0.042528057,0,0,0,0,0.000590667,0,0.000590667,0,0,0,0.001181335,0.025398701,0,0,0.036030715,0,0,0.009450679,0,0,0.015357354,0.00236267,0.011813349,0,0,0.00236267,0,0,0.000590667,0,0.186650916,0,0.001772002,0.000590667,0,0,0,0
2014_1_High,2014,1,High_fertility,0,0,0,0.677013177,0.002342606,0.000878477,0,0.000292826,0,0,0,0,0,0,0,0,0,0,0,0,0.039824305,0,0,0.013469985,0.070863836,0.004392387,0,0,0,0,0,0,0.029868228,0,0,0.036310395,0,0,0.025768668,0,0,0.016398243,0,0,0,0,0,0.000292826,0,0.002342606,0,0.069106881,0,0.000585652,0.002635432,0,0,0.00761347,0
2014_2_Low,2014,2,Low_fertility,0,0,0,0.657662948,0,0.000587199,0,0,0.009395185,0.003523194,0.000587199,0,0,0,0,0.009395185,0.001761597,0,0.000587199,0,0.039929536,0.000587199,0,0.005284792,0.001761597,0,0,0.002935995,0,0,0,0,0.025836759,0,0,0.007046389,0,0,0.022313564,0.000587199,0,0.012918379,0.001761597,0,0,0,0.001174398,0,0,0.001174398,0,0.187903699,0,0.002935995,0.002348796,0,0,0,0
2014_2_High,2014,2,High_fertility,0,0,0,0.759869397,0,0.000593648,0,0,0,0,0,0,0,0.000296824,0,0,0,0,0,0,0.04392995,0,0,0.004155536,0.041852182,0.00890472,0,0,0,0,0,0,0.017809439,0,0,0.008311072,0,0,0.004749184,0,0,0.00296824,0.000593648,0,0,0,0,0,0,0.008311072,0,0.097358267,0,0,0,0,0,0.000296824,0
2014_3_Low,2014,3,Low_fertility,0,0,0,0.711397059,0,0.001378676,0,0,0.000459559,0.018841912,0,0,0,0,0,0.018382353,0.000459559,0,0,0,0.037224265,0,0,0.005514706,0.000919118,0.000919118,0,0.002297794,0,0,0,0.000459559,0.007352941,0,0,0.011948529,0,0,0.051470588,0.001838235,0,0.008272059,0.002757353,0.001838235,0,0,0.000459559,0,0,0.001378676,0,0.112132353,0,0.000459559,0.000919118,0.000459559,0,0.000459559,0
2014_3_High,2014,3,High_fertility,0,0,0,0.708247118,0,0.007389891,0,0.000295596,0,0,0,0,0,0,0,0,0,0,0,0,0.02837718,0,0,0.007094295,0.035767071,0.004138339,0,0,0,0,0,0,0.112917529,0,0,0.00472953,0.000295596,0,0.010641443,0,0,0.043748153,0.000295596,0,0,0.005911913,0,0,0.000295596,0.000295596,0,0.02837718,0,0.000886787,0.000295596,0,0,0,0
2014_4_Low,2014,4,Low_fertility,0,0,0.000509944,0.640489546,0,0.005099439,0,0,0.006629271,0.006119327,0,0,0,0,0,0.040795512,0,0,0,0,0.040795512,0,0,0.001019888,0.001019888,0.004589495,0,0.004589495,0,0,0,0,0.005609383,0,0,0.03263641,0,0,0,0,0.000509944,0.005609383,0.004589495,0,0,0,0.006629271,0,0,0.00254972,0,0.189699133,0,0.000509944,0,0,0,0,0
2014_4_High,2014,4,High_fertility,0,0,0,0.636096414,0,0.003527337,0,0.000293945,0,0,0.063492063,0,0,0.000293945,0,0,0,0,0,0,0.039976484,0,0,0.005291005,0.039388595,0.020282187,0,0,0,0,0,0,0.076719577,0,0,0.029394474,0,0,0.008230453,0,0,0.012933568,0.000293945,0.001175779,0.000587889,0.001175779,0.001175779,0,0,0.001469724,0.001175779,0.054085832,0,0,0.002645503,0,0,0.000293945,0
2015_1_Low,2015,1,Low_fertility,0,0,0.009106431,0.573705179,0,0.001707456,0,0.000569152,0.03471827,0.001138304,0,0,0,0,0,0.030734206,0.003414912,0.000569152,0.00284576,0,0.061468412,0,0,0.006260672,0,0.000569152,0,0.005122368,0,0,0.002276608,0,0.010244735,0,0,0.015936255,0,0,0.010244735,0,0,0.003414912,0.003984064,0,0,0,0.000569152,0,0,0,0,0.216277746,0,0.000569152,0.002276608,0,0.002276608,0,0
2015_1_High,2015,1,High_fertility,0,0,0,0.778751369,0,0.000273823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017798467,0,0.00109529,0.02026287,0.012322015,0.004928806,0,0,0,0,0,0,0.062979189,0,0,0.012048193,0.000273823,0,0.006571742,0.000273823,0,0.009309967,0,0,0,0,0.007667032,0,0,0.002464403,0,0.059145674,0,0.001369113,0.002464403,0,0,0,0
2015_2_Low,2015,2,Low_fertility,0,0,0.029004614,0.814765985,0,0,0,0,0,0.015820699,0,0,0,0,0,0.023071852,0.003955175,0.005932762,0,0,0.023731048,0,0,0,0.000659196,0.007910349,0,0,0,0.000659196,0,0,0.015820699,0,0,0,0,0,0.013183916,0,0.000659196,0.013183916,0,0,0,0.000659196,0.008569545,0,0,0,0,0.021094265,0,0,0.000659196,0.000659196,0,0,0
2015_2_High,2015,2,High_fertility,0,0,0,0.761740133,0,0.000576203,0,0,0,0,0,0,0,0,0,0,0.000288101,0,0,0,0.016997983,0,0,0.001152406,0.007490637,0.049553443,0,0,0,0,0,0,0.084701815,0,0,0.00605013,0,0,0,0,0,0.007202535,0,0,0,0.000288101,0,0,0,0,0,0.063382311,0,0.000576203,0,0,0,0,0
2015_3_Low,2015,3,Low_fertility,0,0,0.000788644,0.829652997,0,0,0.000788644,0,0,0.007886435,0,0,0,0,0,0.006309148,0,0.009463722,0,0,0.018138801,0,0,0,0.01340694,0.014984227,0,0,0,0,0.000788644,0,0.028391167,0,0,0,0,0,0,0,0.000788644,0.01340694,0.012618297,0.010252366,0,0,0,0,0,0,0,0.031545741,0,0.000788644,0,0,0,0,0
2015_3_High,2015,3,High_fertility,0,0,0,0.791570629,0,0,0.001646362,0.000329272,0,0,0,0,0,0,0,0,0,0,0,0,0.014158709,0,0,0,0.029305235,0.029305235,0,0,0,0,0,0,0.098781692,0,0,0,0,0,0.005926902,0,0,0.018439249,0,0,0,0,0,0,0,0.005268357,0,0.005268357,0,0,0,0,0,0,0
2015_4_Low,2015,4,Low_fertility,0,0,0.005467801,0.534629405,0,0.011543135,0,0,0.002430134,0.032199271,0.000607533,0.000607533,0,0,0,0.011543135,0.013365735,0,0,0,0.05346294,0.001215067,0,0.005467801,0,0.000607533,0,0.024301337,0,0,0,0.017010936,0.031591738,0,0,0.012758202,0.001215067,0,0.012758202,0,0,0.002430134,0.015795869,0,0,0.009720535,0.000607533,0,0,0.004252734,0,0.184690158,0,0.004252734,0.0018226,0.000607533,0.003037667,0,0
2015_4_High,2015,4,High_fertility,0,0,0,0.69346049,0,0.000681199,0,0.001362398,0,0,0,0,0,0,0,0,0,0,0,0,0.02520436,0,0,0.003405995,0.025885559,0.029632153,0,0,0,0,0,0,0.070844687,0,0.000340599,0.020435967,0.001362398,0,0.025885559,0,0.000340599,0.016348774,0.000340599,0.001362398,0.000340599,0,0,0,0,0.000340599,0,0.079019074,0,0.000340599,0.003065395,0,0,0,0
2017_1_Low,2017,1,Low_fertility,0,0,0,0.62369146,0,0.001101928,0,0.001101928,0.00661157,0.007162534,0,0,0,0,0,0.004958678,0.001652893,0.011570248,0.008815427,0,0.033608815,0,0,0.003305785,0.004958678,0.002754821,0,0.003856749,0,0.000550964,0.008815427,0,0.026446281,0,0,0.008815427,0,0,0.055096419,0,0,0.03415978,0.002203857,0,0,0,0,0,0,0.001652893,0,0.132231405,0.011019284,0.002203857,0.001652893,0,0,0,0
2017_1_High,2017,1,High_fertility,0,0,0,0.597631645,0,0,0,0.005039053,0,0,0,0,0,0,0,0,0,0,0,0,0.099773243,0,0,0.004031242,0.0526581,0.192491812,0.002015621,0,0,0,0,0,0.009826153,0,0,0.007306626,0,0,0,0,0,0.001007811,0,0,0,0.001007811,0,0,0,0.012093726,0,0.015117158,0,0,0,0,0,0,0
2017_2_Low,2017,2,Low_fertility,0,0,0,0.662904053,0,0.000513084,0,0,0,0.016418676,0,0,0,0,0,0.025654182,0.013340174,0.002565418,0.004617753,0,0.015392509,0.000513084,0,0,0.000513084,0.004104669,0,0.009235505,0,0.004104669,0,0,0.038481272,0,0,0,0,0,0.001539251,0.000513084,0,0.008722422,0.001026167,0,0,0,0.001026167,0,0,0.001539251,0,0.145715752,0.02257568,0.000513084,0.004104669,0,0,0,0.014366342
2017_2_High,2017,2,High_fertility,0,0,0,0.635005336,0,0.004268943,0,0.000266809,0,0,0,0,0.001334045,0,0,0,0,0,0,0,0.073639274,0.006403415,0,0.001067236,0.022411953,0.156883671,0.001067236,0,0,0,0,0,0.044823906,0.026680896,0,0.002401281,0,0,0.002134472,0,0,0.011205977,0,0,0,0,0,0,0,0,0,0.007470651,0,0,0.002934899,0,0,0,0
2017_3_Low,2017,3,Low_fertility,0,0,0,0.636986301,0,0.002283105,0,0.001141553,0,0.068493151,0,0,0,0,0,0.002853881,0.002853881,0,0.001712329,0,0.020547945,0,0,0,0.002853881,0.00456621,0,0.003424658,0,0.001141553,0,0,0.03196347,0,0,0,0,0,0.034246575,0,0,0.02283105,0.003424658,0.006849315,0,0,0.001141553,0,0.008561644,0.001141553,0,0.132420091,0.002283105,0.002283105,0.003424658,0,0.000570776,0,0
2017_3_High,2017,3,High_fertility,0,0,0,0.596961573,0,0,0,0.00357462,0,0,0,0,0.000297885,0,0,0,0,0,0,0,0.073875484,0,0,0.000297885,0.044086982,0.147750968,0,0,0,0,0,0,0.045576408,0,0,0.002680965,0,0,0,0,0,0.027405422,0,0,0,0.036937742,0,0,0,0,0,0.020256181,0,0,0.000297885,0,0,0,0
2017_4_Low,2017,4,Low_fertility,0,0,0.000545852,0.543668122,0,0.001091703,0,0,0.000545852,0.058951965,0,0,0,0,0,0.019104803,0.002729258,0.004366812,0.002729258,0,0.069868996,0.015283843,0,0,0.004366812,0.002183406,0.002183406,0.009825328,0,0,0,0,0.024563319,0,0,0,0.002183406,0,0,0,0.008733624,0.009279476,0.003275109,0,0,0,0.004366812,0,0,0.004366812,0,0.200873362,0,0.002729258,0.001637555,0,0.000545852,0,0
2017_4_High,2017,4,High_fertility,0,0,0,0.622959593,0,0,0,0.009633396,0,0,0,0,0,0,0,0,0,0,0,0,0.085630185,0,0,0,0.061011507,0.154401927,0,0,0,0,0,0,0.028900187,0,0.000267594,0.005619481,0,0,0,0,0,0.005351887,0,0,0,0,0,0,0,0.000267594,0,0.023548301,0,0,0.002408349,0,0,0,0
