Year_Block_Treatment,Year,Block,Treatment,Amaranthus_retroflexus,Ambrosia_artemisiifolia,Amorpha_canescens,Andropogon_gerardii,Asclepias_syriaca,Asclepias_tuberosa,Aster_ericoides,Aster_praealtus ,Astragalus_canadensis,Baptisia_alba,Bromus_inermis,Chamaecrista_fasciculata,Chenopodium_album,Cirsium_arvense,Conyza_canadensis,Dalea_purpureum,Desmanthus_illinoensis,Desmodium_canadensis,Echinacea_pallida,Echinochloa_crusgalli,Elymus_canadensis,Eryngium_yuccifolium,Euphorbia_dentata,Helianthis_laetiflorus,Helianthis_maximilliani,Heliopsis_helianthoides,Lactuca_serriola,Lespedeza_capitata,Liatris_pycnostachya,Medicago_lupulina,Melilotus_albus,Melilotus_officinalis,Monarda_fistulosa,Muhlenbergia_frondosa,Other,Oxalis_stricta,Panicum_virgatum,Phleum_pratense,Physalis_subglabrata,Poa_pratensis,Populus_deltoides,Pycnanthemum_virginianum,Ratibida_pinnata,Rudbeckia_hirta,Schizachyrium_scoparium,Setaria_faberi,Silphium_integrifolium,Silphium_lactinatum,Solanum_ptycanthum,Solidago_canadensis,Solidago_rigida,Sonchus_asper,Sorghastrum_nutans,Sporobolus_heterolepis,Taraxacum_officinale,Tradescantia_ohiensis,Trifolium_hybridum,Trifolium_pratense,Vernonia_fasciculata,Veronicastrum_virginicum
2010_2_Low,2010,2,Low_fertility,0,0,0.002604167,1.604166667,0,0.013020833,0,0.002604167,0.03125,0,0,0,0,0,0,0.041666667,0.0078125,0.020833333,0,0,0.583333333,0.002604167,0,0.0234375,0.020833333,0.005208333,0,0.028645833,0,0.002604167,0,0,0.0078125,0,0,0,0.90625,0,0,0,0.020833333,0,0.15625,0.020833333,0,0,0,0,0,0,0.002604167,0,1.40625,0,0.013020833,0,0,0,0.0390625,0
2010_2_High,2010,2,High_fertility,0,0,0,1.21875,0,0.005208333,0,0,0.065104167,0,0,0,0,0,0,0,0,0.018229167,0,0,1.927083333,0,0,0.0078125,0.114583333,0.0625,0,0,0,0,0,0,0.203125,0,0,0,0.416666667,0,0.002604167,0,0,0,0.221354167,0.020833333,0,0,0,0,0,0,0.002604167,0,0.822916667,0,0,0,0,0,0.002604167,0
2010_3_Low,2010,3,Low_fertility,0,0,0,1.927083333,0,0.0078125,0,0,0.09375,0,0,0,0,0,0,0.005208333,0.171875,0.020833333,0,0,1.010416667,0,0,0.072916667,0.002604167,0.075520833,0,0.002604167,0.0078125,0,0,0,0.0234375,0,0.002604167,0,0.5,0,0,0,0.005208333,0,0.1328125,0.005208333,0,0,0,0.002604167,0,0,0,0,1.15625,0,0.002604167,0,0,0,0,0
2010_3_High,2010,3,High_fertility,0,0,0,1.106770833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,2.520833333,0,0,0.049479167,0.0625,0.060416667,0,0,0,0,0,0,0.203125,0,0,0,0.791666667,0.002604167,0.0234375,0,0,0,0.109375,0,0,0,0,0,0,0,0.010416667,0,0.856770833,0,0,0.002604167,0,0,0,0
2010_4_Low,2010,4,Low_fertility,0,0,0,2.020833333,0,0.0078125,0,0,0,0,0,0,0,0,0,0.036458333,0.005208333,0.114583333,0,0,0.572916667,0,0,0.002604167,0.002604167,0.057291667,0,0.0234375,0,0,0,0,0.015625,0,0,0,0.572916667,0,0,0,0,0.002604167,0.166666667,0.010416667,0.03125,0,0,0.002604167,0,0.002604167,0,0,1.552083333,0,0,0,0,0,0.005208333,0
2010_4_High,2010,4,High_fertility,0,0,0,1.03125,0,0.002604167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.458333333,0,0,0.096354167,0.0546875,0.127604167,0,0,0,0,0,0,0.2421875,0,0,0,0.385416667,0,0,0,0,0,0.296875,0,0,0,0,0,0,0,0,0,0.401041667,0,0,0.002604167,0,0,0.005208333,0
2011_1_Low,2011,1,Low_fertility,0,0,0,1.875,0,0.013020833,0,0.002604167,0.033854167,0.005208333,0,0,0,0.002604167,0,0.020833333,0.291666667,0.065104167,0,0,0.385416667,0,0,0.057291667,0,0.046875,0,0.002604167,0,0,0,0,0.0703125,0,0,0,0.364583333,0,0.002604167,0.002604167,0,0,0.203125,0.026041667,0,0,0,0.002604167,0,0,0,0,1.333333333,0,0,0.002604167,0,0,0.018229167,0
2011_1_High,2011,1,High_fertility,0,0,0,1.541666667,0,0.0234375,0,0.25,0,0,0,0,0.03125,0,0.083333333,0,0,0.005208333,0,0,2.208333333,0,0,0.221354167,0,0.463541667,0,0,0,0,0,0,0.190104167,0,0,0,0.408854167,0,0.020833333,0,0.002604167,0,0.53125,0.020833333,0,0,0,0,0,0,0,0,0.458333333,0,0,0.020833333,0,0,0.059895833,0
2011_2_Low,2011,2,Low_fertility,0,0,0,1.6875,0,0.002604167,0,0,0.0859375,0.002604167,0,0,0,0,0,0.044270833,0,0.057291667,0,0,0.520833333,0,0,0.020833333,0,0.03125,0,0.0234375,0,0,0,0,0.041666667,0,0,0,0.3671875,0,0.002604167,0,0.002604167,0,0.166666667,0.028645833,0.033854167,0,0.002604167,0,0,0,0.002604167,0,1.75,0,0,0.002604167,0,0,0,0
2011_2_High,2011,2,High_fertility,0,0,0,1.864583333,0,0.002604167,0,0,0,0,0,0,0,0,0,0,0.0546875,0,0,0,1.46875,0,0,0.138020833,0.364583333,0.4921875,0,0,0,0,0,0,0.822916667,0,0,0,0.1171875,0,0,0.197916667,0,0.002604167,0,0,0,0,0.041666667,0,0,0,0,0,0.270833333,0,0,0,0,0,0.161458333,0
2011_3_Low,2011,3,Low_fertility,0,0.002604167,0,2.09375,0,0.010416667,0,0,0,0,0,0,0,0,0,0.005208333,0.109375,0.1171875,0,0,0.5625,0,0,0.046875,0.072916667,0.0625,0,0,0.002604167,0,0,0,0.057291667,0,0,0,0.231770833,0,0,0,0,0,0.1796875,0.03125,0,0,0,0.010416667,0,0,0,0,1.114583333,0,0.002604167,0.010416667,0,0,0,0
2011_3_High,2011,3,High_fertility,0,0.002604167,0,1.145833333,0,0,0,0,0.010416667,0,0,0,0,0,0.002604167,0,0,0.010416667,0,0,1.447916667,0,0,0.208333333,0.513020833,0.666666667,0,0,0,0,0,0,0.234375,0,0,0,0.041666667,0,0.028645833,0,0,0,0.325520833,0.018229167,0,0,0,0,0,0,0,0,0.127604167,0,0.005208333,0.002604167,0,0,0.03125,0
2011_4_Low,2011,4,Low_fertility,0,0,0,2.0625,0,0.033854167,0,0,0.013020833,0.002604167,0,0,0,0,0,0.002604167,0.002604167,0.057291667,0,0,0.46875,0,0,0.049479167,0.005208333,0.072916667,0,0.036458333,0,0,0,0,0.057291667,0,0,0,0.364583333,0,0.002604167,0,0,0.005208333,0.096354167,0.013020833,0,0,0,0,0,0,0,0,1.520833333,0,0,0.002604167,0,0,0,0
2011_4_High,2011,4,High_fertility,0,0,0,1.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002604167,0,0.002604167,1.8125,0,0,0.026041667,0.536458333,0.59625,0,0,0,0,0,0,0.65625,0,0,0,0.072916667,0.010416667,0,0.083333333,0,0,0.408854167,0.013020833,0,0.0234375,0,0,0,0,0,0,0.34375,0,0,0.010416667,0,0,0.013020833,0
2014_1_Low,2014,1,Low_fertility,0,0,0,2.572916667,0,0.0546875,0,0,0,0.114583333,0,0,0,0,0,0.161458333,0.010416667,0.002604167,0.005208333,0,0.1875,0,0,0,0,0.002604167,0,0.002604167,0,0,0,0.005208333,0.111979167,0,0.0234375,0,0.158854167,0,0,0.041666667,0,0,0.067708333,0.010416667,0.052083333,0,0,0.010416667,0,0,0.002604167,0,0.822916667,0,0.0078125,0.002604167,0,0,0,0
2014_1_High,2014,1,High_fertility,0,0,0,6.020833333,0.020833333,0.0078125,0,0.002604167,0,0,0,0,0,0,0,0,0,0,0,0,0.354166667,0,0,0.119791667,0.630208333,0.0390625,0,0,0,0,0,0,0.265625,0,0.096354167,0,0.322916667,0,0,0.229166667,0,0,0.145833333,0,0,0,0,0,0.002604167,0,0.020833333,0,0.614583333,0,0.005208333,0.0234375,0,0,0.067708333,0
2014_2_Low,2014,2,Low_fertility,0,0,0,2.916666667,0,0.002604167,0,0,0.041666667,0.015625,0.002604167,0,0,0,0,0.041666667,0.0078125,0,0.002604167,0,0.177083333,0.002604167,0,0.0234375,0.0078125,0,0,0.013020833,0,0,0,0,0.114583333,0,0.010416667,0,0.03125,0,0,0.098958333,0.002604167,0,0.057291667,0.0078125,0,0,0,0.005208333,0,0,0.005208333,0,0.833333333,0,0.013020833,0.010416667,0,0,0,0
2014_2_High,2014,2,High_fertility,0,0,0,6.666666667,0,0.005208333,0,0,0,0,0,0,0,0.002604167,0,0,0,0,0,0,0.385416667,0,0,0.036458333,0.3671875,0.078125,0,0,0,0,0,0,0.15625,0,0.03125,0,0.072916667,0,0,0.041666667,0,0,0.026041667,0.005208333,0,0,0,0,0,0,0.072916667,0,0.854166667,0,0,0,0,0,0.002604167,0
2014_3_Low,2014,3,Low_fertility,0,0,0,4.03125,0,0.0078125,0,0,0.002604167,0.106770833,0,0,0,0,0,0.104166667,0.002604167,0,0,0,0.2109375,0,0,0.03125,0.005208333,0.005208333,0,0.013020833,0,0,0,0.002604167,0.041666667,0,0.002604167,0,0.067708333,0,0,0.291666667,0.010416667,0,0.046875,0.015625,0.010416667,0,0,0.002604167,0,0,0.0078125,0,0.635416667,0,0.002604167,0.005208333,0.002604167,0,0.002604167,0
2014_3_High,2014,3,High_fertility,0,0,0,6.239583333,0,0.065104167,0,0.002604167,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.0625,0.315104167,0.036458333,0,0,0,0,0,0,0.994791667,0,0.020833333,0,0.041666667,0.002604167,0,0.09375,0,0,0.385416667,0.002604167,0,0,0.052083333,0,0,0.002604167,0.002604167,0,0.25,0,0.0078125,0.002604167,0,0,0,0
2014_4_Low,2014,4,Low_fertility,0,0,0.002604167,3.270833333,0,0.026041667,0,0,0.033854167,0.03125,0,0,0,0,0,0.208333333,0,0,0,0,0.208333333,0,0,0.005208333,0.005208333,0.0234375,0,0.0234375,0,0,0,0,0.028645833,0,0,0,0.166666667,0,0,0,0,0.002604167,0.028645833,0.0234375,0,0,0,0.033854167,0,0,0.013020833,0,0.96875,0,0.002604167,0,0,0,0,0
2014_4_High,2014,4,High_fertility,0,0,0,5.635416667,0,0.03125,0,0.002604167,0,0,0.5625,0,0,0.002604167,0,0,0,0,0,0,0.354166667,0,0,0.046875,0.348958333,0.1796875,0,0,0,0,0,0,0.6796875,0,0.020833333,0,0.260416667,0,0,0.072916667,0,0,0.114583333,0.002604167,0.010416667,0.005208333,0.010416667,0.010416667,0,0,0.013020833,0.010416667,0.479166667,0,0,0.0234375,0,0,0.002604167,0
2015_1_Low,2015,1,Low_fertility,0,0,0.041666667,2.625,0,0.0078125,0,0.002604167,0.158854167,0.005208333,0,0,0,0,0,0.140625,0.015625,0.002604167,0.013020833,0,0.28125,0,0,0.028645833,0,0.002604167,0,0.0234375,0,0,0.010416667,0,0.046875,0,0.018229167,0,0.072916667,0,0,0.046875,0,0,0.015625,0.018229167,0,0,0,0.002604167,0,0,0,0,0.989583333,0,0.002604167,0.010416667,0,0.010416667,0,0
2015_1_High,2015,1,High_fertility,0,0,0,7.40625,0,0.002604167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169270833,0,0.010416667,0.192708333,0.1171875,0.046875,0,0,0,0,0,0,0.598958333,0,0.041666667,0,0.114583333,0.002604167,0,0.0625,0.002604167,0,0.088541667,0,0,0,0,0.072916667,0,0,0.0234375,0,0.5625,0,0.013020833,0.0234375,0,0,0,0
2015_2_Low,2015,2,Low_fertility,0,0,0.114583333,3.21875,0,0,0,0,0,0.0625,0,0,0,0,0,0.091145833,0.015625,0.0234375,0,0,0.09375,0,0,0,0.002604167,0.03125,0,0,0,0.002604167,0,0,0.0625,0,0.0078125,0,0,0,0,0.052083333,0,0.002604167,0.052083333,0,0,0,0.002604167,0.033854167,0,0,0,0,0.083333333,0,0,0.002604167,0.002604167,0,0,0
2015_2_High,2015,2,High_fertility,0,0,0,6.885416667,0,0.005208333,0,0,0,0,0,0,0,0,0,0,0.002604167,0,0,0,0.153645833,0,0,0.010416667,0.067708333,0.447916667,0,0,0,0,0,0,0.765625,0,0.026041667,0,0.0546875,0,0,0,0,0,0.065104167,0,0,0,0.002604167,0,0,0,0,0,0.572916667,0,0.005208333,0,0,0,0,0
2015_3_Low,2015,3,Low_fertility,0,0,0.002604167,2.739583333,0,0,0.002604167,0,0,0.026041667,0,0,0,0,0,0.020833333,0,0.03125,0,0,0.059895833,0,0,0,0.044270833,0.049479167,0,0,0,0,0.002604167,0,0.09375,0,0.026041667,0,0,0,0,0,0,0.002604167,0.044270833,0.041666667,0.033854167,0,0,0,0,0,0,0,0.104166667,0,0.002604167,0,0,0,0,0
2015_3_High,2015,3,High_fertility,0,0,0,6.260416667,0,0,0.013020833,0.002604167,0,0,0,0,0,0,0,0,0,0,0,0,0.111979167,0,0,0,0.231770833,0.231770833,0,0,0,0,0,0,0.78125,0,0.015625,0,0,0,0,0.046875,0,0,0.145833333,0,0,0,0,0,0,0,0.041666667,0,0.041666667,0,0,0,0,0,0,0
2015_4_Low,2015,4,Low_fertility,0,0,0.0234375,2.291666667,0,0.049479167,0,0,0.010416667,0.138020833,0.002604167,0.002604167,0,0,0,0.049479167,0.057291667,0,0,0,0.229166667,0.005208333,0,0.0234375,0,0.002604167,0,0.104166667,0,0,0,0.072916667,0.135416667,0,0,0,0.0546875,0.005208333,0,0.0546875,0,0,0.010416667,0.067708333,0,0,0.041666667,0.002604167,0,0,0.018229167,0,0.791666667,0,0.018229167,0.0078125,0.002604167,0.013020833,0,0
2015_4_High,2015,4,High_fertility,0,0,0,5.302083333,0,0.005208333,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0.192708333,0,0,0.026041667,0.197916667,0.2265625,0,0,0,0,0,0,0.541666667,0,0,0.002604167,0.15625,0.010416667,0,0.197916667,0,0.002604167,0.125,0.002604167,0.010416667,0.002604167,0,0,0,0,0.002604167,0,0.604166667,0,0.002604167,0.0234375,0,0,0,0
2017_1_Low,2017,1,Low_fertility,0,0,0,2.947916667,0,0.005208333,0,0.005208333,0.03125,0.033854167,0,0,0,0,0,0.0234375,0.0078125,0.0546875,0.041666667,0,0.158854167,0,0,0.015625,0.0234375,0.013020833,0,0.018229167,0,0.002604167,0.041666667,0,0.125,0,0,0,0.041666667,0,0,0.260416667,0,0,0.161458333,0.010416667,0,0,0,0,0,0,0.0078125,0,0.625,0.052083333,0.010416667,0.0078125,0,0,0,0
2017_1_High,2017,1,High_fertility,0,0,0,6.177083333,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,1.03125,0,0,0.041666667,0.544270833,1.989583333,0.020833333,0,0,0,0,0,0.1015625,0,0,0,0.075520833,0,0,0,0,0,0.010416667,0,0,0,0.010416667,0,0,0,0.125,0,0.15625,0,0,0,0,0,0,0
2017_2_Low,2017,2,Low_fertility,0,0,0,3.364583333,0,0.002604167,0,0,0,0.083333333,0,0,0,0,0,0.130208333,0.067708333,0.013020833,0.0234375,0,0.078125,0.002604167,0,0,0.002604167,0.020833333,0,0.046875,0,0.020833333,0,0,0.1953125,0,0,0,0,0,0,0.0078125,0.002604167,0,0.044270833,0.005208333,0,0,0,0.005208333,0,0,0.0078125,0,0.739583333,0.114583333,0.002604167,0.020833333,0,0,0,0.072916667
2017_2_High,2017,2,High_fertility,0,0,0,6.197916667,0,0.041666667,0,0.002604167,0,0,0,0,0.013020833,0,0,0,0,0,0,0,0.71875,0.0625,0,0.010416667,0.21875,1.53125,0.010416667,0,0,0,0,0,0.4375,0.260416667,0,0,0.0234375,0,0,0.020833333,0,0,0.109375,0,0,0,0,0,0,0,0,0,0.072916667,0,0,0.028645833,0,0,0,0
2017_3_Low,2017,3,Low_fertility,0,0,0,2.90625,0,0.010416667,0,0.005208333,0,0.3125,0,0,0,0,0,0.013020833,0.013020833,0,0.0078125,0,0.09375,0,0,0,0.013020833,0.020833333,0,0.015625,0,0.005208333,0,0,0.145833333,0,0,0,0,0,0,0.15625,0,0,0.104166667,0.015625,0.03125,0,0,0.005208333,0,0.0390625,0.005208333,0,0.604166667,0.010416667,0.010416667,0.015625,0,0.002604167,0,0
2017_3_High,2017,3,High_fertility,0,0,0,5.21875,0,0,0,0.03125,0,0,0,0,0.002604167,0,0,0,0,0,0,0,0.645833333,0,0,0.002604167,0.385416667,1.291666667,0,0,0,0,0,0,0.3984375,0,0,0,0.0234375,0,0,0,0,0,0.239583333,0,0,0,0.322916667,0,0,0,0,0,0.177083333,0,0,0.002604167,0,0,0,0
2017_4_Low,2017,4,Low_fertility,0,0,0.002604167,2.59375,0,0.005208333,0,0,0.002604167,0.28125,0,0,0,0,0,0.091145833,0.013020833,0.020833333,0.013020833,0,0.333333333,0.072916667,0,0,0.020833333,0.010416667,0.010416667,0.046875,0,0,0,0,0.1171875,0,0,0,0,0.010416667,0,0,0,0.041666667,0.044270833,0.015625,0,0,0,0.020833333,0,0,0.020833333,0,0.958333333,0,0.013020833,0.0078125,0,0.002604167,0,0
2017_4_High,2017,4,High_fertility,0,0,0,6.0625,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0.59375,1.502604167,0,0,0,0,0,0,0.28125,0,0,0.002604167,0.0546875,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0.002604167,0,0.229166667,0,0,0.0234375,0,0,0,0
